,metadata,sent,mvi,inf,xobj
788,Demosthenes (0014) - Third Philippic (009),"εἰ μὲν οὖν ἔξεστιν εἰρήνην ἄγειν τῇ πόλει καὶ ἐφʼ ἡμῖν ἐστι τοῦτο , ἵνʼ ἐντεῦθεν ἄρξωμαι , φήμʼ ἔγωγʼ ἄγειν ἡμᾶς δεῖν , καὶ τὸν ταῦτα λέγοντα γράφειν καὶ πράττειν καὶ μὴ φενακίζειν ἀξιῶ ·",ἔξεστιν,ἄγειν,πόλει
789,Theophrastus (0093) - Characters (009),"καὶ κολοιῷ δὲ ἔνδον τρεφομένῳ δεινὸς κλιμάκιον πρίασθαι καὶ ἀσπίδιον χαλκοῦν ποιῆσαι , ὃ ἔχων ἐπὶ τοῦ κλιμακίου ὁ κολοιὸς πηδήσεται . καὶ βοῦν θύσας τὸ προμετωπίδιον ἀπαντικρὺ τῆς εἰσόδου προσπατταλῶσαι , στέμμασι μεγάλοις περιδήσας , ὅπως οἱ εἰσιόντες ἴδωσιν , ὅτι βοῦν ἔθυσε . καὶ πομπεύσας μετὰ τῶν ἱππέων τὰ μὲν ἄλλα πάντα δοῦναι τῷ παιδὶ ἀπενεγκεῖν οἴκαδε , ἀναβαλόμενος δὲ θοἰμάτιον ἐν τοῖς μύωψι κατὰ τὴν ἀγορὰν περιπατεῖν .",δοῦναι,ἀπενεγκεῖν,παιδὶ
790,Demosthenes (0014) - Against Meidias (021),"τοῖς ὑπηρέταις ἐξείργειν εἰπεῖν , οὐκ αὐτὸς τύπτειν . οὐδʼ οὕτω πείθομαι · ἐπιβολὴν ἐπιβαλεῖν , πάντα μᾶλλον πλὴν αὐτὸς ἅψασθαι τῇ χειρί ·",ἐπιβαλεῖν,ἅψασθαι,χειρί
791,Demosthenes (0014) - Against Aristocrates (023),"καὶ μὴν ἔν γε τῷ ποιεῖν ἀγώγιμον πάνθʼ ὅσʼ ἀπείρηκεν ὁ νόμος δέδωκας , χρήματα πράξασθαι , ζῶντα λυμαίνεσθαι , κακοῦν ἔχοντα , αὐτὸν ἀποκτιννύναι .",δέδωκας,ποιεῖν;πράξασθαι,τῷ
792,Thucydides (0003) - History (001),"ἔδοξε δʼ οὖν ξυναγαγόντι τοὺς μεθʼ αὑτοῦ ὡς ἐς ἐλάχιστον χωρίον δρόμῳ βιάσασθαι ἐς τὴν Ποτείδαιαν , καὶ παρῆλθε παρὰ τὴν χηλὴν διὰ τῆς θαλάσσης βαλλόμενός τε καὶ χαλεπῶς , ὀλίγους μέν τινας ἀποβαλών , τοὺς δὲ πλείους σώσας . οἱ δʼ ἀπὸ τῆς *̓ολύνθου τοῖς Ποτειδεάταις βοηθοί ̔ ἀπέχει δὲ ἑξήκοντα μάλιστα σταδίους καὶ ἔστι καταφανές ̓ ὡς ἡ μάχη ἐγίγνετο καὶ τὰ σημεῖα ἤρθη , βραχὺ μέν τι προῆλθον ὡς βοηθήσοντες , καὶ οἱ Μακεδόνες ἱππῆς ἀντιπαρετάξαντο ὡς κωλύσοντες ·",ἔδοξε,βιάσασθαι,δρόμῳ
793,Plato (0059) - Laws (034),"τί οὖν δὴ ποιητέον ἐχόντων τούτων οὕτως , ὦ ξένε ; τὸ λεγόμενον , ὦ φίλοι , ἐν κοινῷ καὶ μέσῳ ἔοικεν ἡμῖν κεῖσθαι , καὶ εἴπερ κινδυνεύειν περὶ τῆς πολιτείας ἐθέλομεν συμπάσης , ἢ τρὶς ἕξ , φασίν , ἢ τρεῖς κύβους βάλλοντες , ταῦτα ποιητέον , ἐγὼ δʼ ὑμῖν συγκινδυνεύσω τῷ φράζειν τε καὶ ἐξηγεῖσθαι τά γε δεδογμένα ἐμοὶ περὶ τῆς παιδείας τε καὶ τροφῆς τῆς νῦν αὖ κεκινημένης τοῖς λόγοις ·",ἔοικεν;δεδογμένα,κεῖσθαι,κοινῷ;ἡμῖν
794,Plato (0059) - Epistles (036),"ταῦτά μοι δόξαντα , εἰς τὴν ὑστεραίαν εἶπον πρὸς Διονύσιον ὅτι δέδοκταί μοι μένειν ·",δόξαντα;δέδοκταί,μένειν,μοι
795,Xenophon (0032) - Anabasis (006),"ἔχοντες ξίφη , οὐ ψήφους , παρέστατε , καὶ ἐξῆν ὑμῖν ἐπικουρεῖν αὐτοῖς , εἰ ἐβούλεσθε ·",ἐξῆν,ἐπικουρεῖν,ὑμῖν;αὐτοῖς
796,Euripides (0006) - Ion (046),"δέραια παιδὶ νεογόνῳ φέρειν , τέκνον . ἔνεισιν οἵδε ·",ἔνεισιν,φέρειν,παιδὶ
797,Plato (0059) - Laws (034),"οἱ δʼ ἀστυνόμοι παραλαβόντες τε καὶ ἀνακρίναντες , τὸν ξενικὸν αὖ θεὸν εὐλαβούμενοι , ἐὰν ἄρα ἀδίκως δοκῇ ὁ ξένος τὸν ἐπιχώριον τύπτειν , τῇ μάστιγι τὸν ξένον ὅσας ἂν αὐτὸς πατάξῃ τοσαύτας δόντες , τῆς θρασυξενίας παυόντων ·",δοκῇ;δόντες,τύπτειν,μάστιγι
798,Sophocles (0011) - Oedipus Tyrannus (004),"ἴσθι γὰρ δοκῶν ἐμοὶ καὶ ξυμφυτεῦσαι τοὔργον εἰργάσθαι θʼ , ὅσον μὴ χερσὶ καίνων ·",δοκῶν,ξυμφυτεῦσαι,ἐμοὶ
799,Isocrates (0010) - Against Lochites (003),"ὥσθʼ ὅταν μὲν τοὺς ἀποστεροῦντας τιμωρῆσθε , τοὺς πλουσίους μόνον ὠφελεῖτε , ὅταν δὲ τοὺς ὑβρίζοντας κολάζητε , ὑμῖν αὐτοῖς βοηθεῖτε . ὧν ἕνεκα δεῖ περὶ πλείστου ποιεῖσθαι ταύτας τῶν δικῶν , καὶ περὶ μὲν τῶν ἄλλων συμβολαίων τοσούτου τιμᾶν , ὅσον προσήκει τῷ διώκοντι κομίσασθαι , περὶ δὲ τῆς ὕβρεως , ὅσον ἀποτείσας ὁ φεύγων παύσεσθαι μέλλει τῆς παρούσης ἀσελγείας . ἂν οὖν περιαιρῆτε τὰς οὐσίας τῶν νεανιευομένων εἰς τοὺς πολίτας καὶ μηδεμίαν νομίζηθʼ ἱκανὴν εἶναι ζημίαν , οἵτινες ἂν εἰς τὰ σώματʼ ἐξαμαρτάνοντες τοῖς χρήμασι τὰς δίκας ὑπέχωσιν , ἅπανθʼ ὅσα δεῖ τοὺς καλῶς δικάζοντας διαπράξεσθε ·",προσήκει,κομίσασθαι,διώκοντι
800,Sophocles (0011) - Electra (005),"νῦν δʼ ἐν κακοῖς μοι πλεῖν ὑφειμένῃ δοκεῖ , καὶ μὴ δοκεῖν μὲν δρᾶν τι , πημαίνειν δὲ μή ·",δοκεῖ;δοκεῖν,πλεῖν;δρᾶν;πημαίνειν,κακοῖς;μοι
801,Isocrates (0010) - Letter 1 (022),λέγειν δὲ μέλλω περὶ μεγάλων πραγμάτων καὶ περὶ ὧν οὐδενὶ τῶν ζώντων ἀκοῦσαι μᾶλλον ἢ σοὶ προσήκει .,προσήκει,ἀκοῦσαι,οὐδενὶ
802,Isocrates (0010) - Panathenaicus (021),"ἀλλὰ ἡγησάμην οὐχ οὕτως ἔσεσθαι δεινόν , ἢν ἐπὶ τοῦ μέρους τούτου δόξω τισὶ τῶν καιρῶν ἀμελεῖν , ὡς ἢν περὶ ἀνδρὸς τοιούτου διαλεγόμενος παραλίπω τι τῶν ἐκείνῳ τε προσόντων ἀγαθῶν κἀμοὶ προσηκόντων εἰπεῖν . ᾤμην δὲ καὶ παρὰ τοῖς χαριεστάτοις τῶν ἀκροατῶν εὐδοκιμήσειν , ἢν φαίνωμαι περὶ ἀρετῆς μὲν τοὺς λόγους ποιούμενος , ὅπως δὲ ταύτης ἀξίως ἐρῶ μᾶλλον σπουδάζων ἢ περὶ τὴν τοῦ λόγου συμμετρίαν , καὶ ταῦτα σαφῶς εἰδὼς τὴν μὲν περὶ τὸν λόγον ἀκαιρίαν ἀδοξότερον ἐμὲ ποιήσουσαν , τὴν δὲ περὶ τὰς πράξεις εὐβουλίαν αὐτοὺς τοὺς ἐπαινουμένους ὠφελήσουσαν ·",δόξω;προσηκόντων;ἐπαινουμένους,ἀμελεῖν,τισὶ
803,Lysias (0540) - Against Agoratus (013),"προσήκει δʼ ὑμῖν δικασταί , ἅπασι τιμωρεῖν ὑπὲρ ἐκείνων τῶν ἀνδρῶν ὁμοίως ὥσπερ ἡμῶν ἑνὶ ἑκάστῳ .",προσήκει,τιμωρεῖν,ἑνὶ
804,Herodotus (0016) - Histories (001),"δωρεὴν γὰρ ἐν τῷ νόμῳ οὐκ ἐξῆν δοῦναι . ταύτας τε δὴ λαβόντες οἱ *̓αθηναῖοι καὶ τὰς σφετέρας , πληρώσαντες ἑβδομήκοντα νέας τὰς ἁπάσας , ἔπλεον ἐπὶ τὴν Αἴγιναν καὶ ὑστέρησαν ἡμέρῃ μιῇ τῆς συγκειμένης . Νικόδρομος δέ , ὡς οἱ *̓αθηναῖοι ἐς τὸν καιρὸν οὐ παρεγίνοντο , ἐς πλοῖον ἐσβὰς ἐκδιδρήσκει ἐκ τῆς Αἰγίνης ·",ἐξῆν;δοῦναι,δοῦναι,νόμῳ
805,Plato (0059) - Protagoras (022),"ἡμῖν δὲ ὑπὸ μὲν ἡδονῆς οὐκέτι ἔξεστιν εἰπεῖν _ ἄλλο γὰρ ὄνομα μετείληφεν ἀντὶ τῆς ἡδονῆς τὸ ἀγαθόν _ ἐκείνῳ δὴ ἀποκρινώμεθα καὶ λέγωμεν ὅτι *̔ηττώμενος _ ὑπὸ τίνος ; φήσει . τοῦ ἀγαθοῦ , φήσομεν νὴ Δία .",ἔξεστιν,εἰπεῖν,ἡμῖν
806,Aristophanes (0019) - Knights (002),"οὐδὲ Ναυφάντης γε τῆς Ναύσωνος , οὐ δῆτʼ ὦ θεοί , εἴπερ ἐκ πεύκης γε κἀγὼ καὶ ξύλων ἐπηγνύμην . ἢν δʼ ἀρέσκῃ ταῦτʼ *̓αθηναίοις , καθῆσθαί μοι δοκεῖ ἐς τὸ Θησεῖον πλεούσαις ἢ ̔ πὶ τῶν σεμνῶν θεῶν .",δοκεῖ,καθῆσθαί,πλεούσαις
807,Lysias (0540) - Against Andocides (006),"καὶ τὸ μὲν σῶμα ἀεὶ ἐν δεσμοῖς ἔχει , ἡ δὲ οὐσία αὐτοῦ ἐλάττων ἐκ τῶν κινδύνων γίγνεται . καίτοι ὅταν τις τὸν αὑτοῦ βίον τοῖς ἐχθροῖς καὶ τοῖς συκοφάνταις διανέμῃ , τοῦτʼ ἔστι τὸ ζῆν βίον ἀβίωτον . ἃ τούτῳ ὁ θεὸς οὐκ ἐπὶ σωτηρία ἐπινοεῖν δίδωσιν , ἀλλὰ τιμωρούμενος τῶν γεγενημένων ἀσεβημάτων . τὸ δὲ τελευταῖον νυνὶ παραδέδωκεν αὑτὸν ὑμῖν χρῆσθαι ὅ τι ἂν βούλησθε , οὐ τῷ μὴ ἀδικεῖν πιστεύων , ἀλλʼ ὑπὸ δαιμονίου τινὸς ἀγόμενος ἀνάγκης . οὔκουν χρὴ μὰ τὸν Δία οὔτε πρεσβύτερον ὄντα οὔτε νεώτερον , ὁρῶντας *̓ ανδοκίδην ἐκ τῶν κινδύνων σῳζόμενον , συνειδότας αὐτῷ ἔργα ἀνόσια εἰργασμένῳ , ἀθεωτέρους γίγνεσθαι , ἐνθυμουμένους ὅτι ἥμισυς ὁ βίος βιῶναι κρείττων ἀλύπως ἐστὶν ἢ διπλάσιος λυπουμένῳ , ὥσπερ οὗτος . εἰς τοσοῦτον δὲ ἀναισχυντίας ἀφῖκται , ὥστε καὶ παρασκευάζεται τὰ πολιτικὰ πράττειν καὶ ἤδη δημηγορεῖ καὶ ἐπιτιμᾷ καὶ ἀποδοκιμάζει τῶν ἀρχόντων τισί .",δίδωσιν;πιστεύων,ἐπινοεῖν;ἀδικεῖν,τῷ
808,Sophocles (0011) - Oedipus at Colonus (007),"ἄλλως δὲ δειμαίνοιμ ̓ ἄν , ὦ ξένʼ , ἀμφὶ σοι . ὦ παῖδε , κλύετον τῶνδε προσχώρων ξένων ; ἠκούσαμέν τε χὤ τι δεῖ πρόστασσε δρᾶν . ἐμοὶ μὲν οὐχ ὁδωτά ·",πρόστασσε,δρᾶν;ὁδωτά,ἐμοὶ
809,Isocrates (0010) - To Demonicus (007),"δόξεις γὰρ αὐτοὺς ἀποδέχεσθαι καὶ ζηλοῦν , ὥστε σοι συμβήσεται παρά τε τῷ πλήθει μᾶλλον εὐδοκιμεῖν καὶ τὴν παρʼ ἐκείνων εὔνοιαν βεβαιοτέραν ἔχειν . πείθου μὲν καὶ τοῖς νόμοις τοῖς ὑπὸ τῶν βασιλέων κειμένοις , ἰσχυρότατον μέντοι νόμον ἡγοῦ τὸν ἐκείνων τρόπον .",δόξεις;συμβήσεται,ἀποδέχεσθαι;εὐδοκιμεῖν,πλήθει
810,Demosthenes (0014) - Against Meidias (021),"διὰ γὰρ τὸ δεῖν αὐτὸν ἐπιλαβόμενον τῇ χειρὶ τοῦτο ποιῆσαι καὶ μὴ προσκαλέσασθαι πρὸς τὸν ἄρχοντʼ ἐξεῖναι , ὥσπερ ἂν εἰ ξένον τις ἐξαγαγεῖν ἐβούλετο , ἅπας τις ὤκνει τῆς ἀσελγείας ταύτης αὐτόχειρ ὀφθῆναι γιγνόμενος . οὔκουν δεινόν , ὦ ἄνδρες δικασταί , καὶ σχέτλιον τῶν μὲν νικᾶν ἂν παρὰ τοῦτʼ οἰομένων χορηγῶν , τῶν ἀνηλωκότων πολλάκις πάντα τὰ ὄντʼ εἰς τὰς λῃτουργίας , μηδένα τολμῆσαι πώποτε μηδʼ ὧν οἱ νόμοι διδόασιν ἅψασθαι , ἀλλʼ οὕτως εὐλαβῶς , οὕτως εὐσεβῶς , οὕτω μετρίως διακεῖσθαι ὥστʼ ἀναλίσκοντας , ἀγωνιῶντας ὅμως ἀπέχεσθαι καὶ προορᾶσθαι τὰς ὑμετέρας βουλήσεις καὶ τὴν περὶ τὴν ἑορτὴν σπουδήν , Μειδίαν δʼ ἰδιώτην ὄντα , μηδὲν ἀνηλωκότα , ὅτι τῳ προσέκρουσεν καὶ ἐχθρὸς ὑπῆρχεν , τοῦτον ἀναλίσκοντα , χορηγοῦντα , ἐπίτιμον ὄντα προπηλακίζειν καὶ τύπτειν , καὶ μήτε τῆς ἑορτῆς μήτε τῶν νόμων μήτε τί ὑμεῖς ἐρεῖτε μήτε τοῦ θεοῦ φροντίζειν ; πολλῶν τοίνυν , ὦ ἄνδρες *̓αθηναῖοι , γεγενημένων ἐχθρῶν ἀλλήλοις , οὐ μόνον ἐξ ἰδίων ἀλλὰ καὶ ἐκ κοινῶν πραγμάτων , οὐδεὶς πώποτʼ εἰς τοσοῦτʼ ἀναιδείας ἀφίκεθʼ ὥστε τοιοῦτόν τι τολμῆσαι ποιεῖν . καίτοι φασὶν *̓ ιφικράτην ποτʼ ἐκεῖνον Διοκλεῖ τῷ Πιθεῖ τὰ μάλιστʼ ἐλθεῖν εἰς ἔχθραν , καὶ ἔτι πρὸς τούτῳ συμβῆναι Τεισίαν τὸν *̓ ιφικράτους ἀδελφὸν ἀντιχορηγῆσαι τῷ Διοκλεῖ .",διδόασιν;ὑπῆρχεν;συμβῆναι,ἀντιχορηγῆσαι,Διοκλεῖ
811,Xenophon (0032) - Anabasis (006),"οὐ γὰρ ἱκανοὶ ἐδόκουν εἶναι οἱ ἐν τῇ ἀκροπόλει σχεῖν τοὺς ἄνδρας . οἱ δὲ στρατιῶται ὡς εἶδον Ξενοφῶντα , προσπίπτουσι πολλοὶ αὐτῷ καὶ λέγουσι ·",ἐδόκουν,σχεῖν,ἀκροπόλει
812,Plato (0059) - Philebus (010),"πορρωτέρω δʼ ἐστὶ τῶν τριτείων , εἴ τι τῷ ἐμῷ νῷ δεῖ πιστεύειν ἡμᾶς τὰ νῦν . ἀλλὰ μήν , ὦ Σώκρατες , ἔμοιγε δοκεῖ νῦν μὲν ἡδονή σοι πεπτωκέναι καθαπερεὶ πληγεῖσα ὑπὸ τῶν νυνδὴ λόγων ·",πιστεύειν;δοκεῖ,πεπτωκέναι,σοι
813,Demosthenes (0014) - Third Olynthiac (003),"οὐ γάρ ἐστι δίκαιον , τὴν μὲν χάριν , ἣ πᾶσαν ἔβλαπτε τὴν πόλιν , τοῖς τότε θεῖσιν ὑπάρχειν , τὴν δʼ ἀπέχθειαν , διʼ ἧς ἂν ἅπαντες ἄμεινον πράξαιμεν , τῷ νῦν τὰ βέλτιστʼ εἰπόντι ζημίαν γενέσθαι .",ὑπάρχειν,γενέσθαι,εἰπόντι
814,Plato (0059) - Charmides (018),"ἐπειδὴ δὲ τῶν τοιούτων ἅδην εἴχομεν , αὖθις ἐγὼ αὐτοὺς ἀνηρώτων τὰ τῇδε , περὶ φιλοσοφίας ὅπως ἔχοι τὰ νῦν , περί τε τῶν νέων , εἴ τινες ἐν αὐτοῖς διαφέροντες ἢ σοφίᾳ ἢ κάλλει ἢ ἀμφοτέροις ἐγγεγονότες εἶεν . καὶ ὁ Κριτίας ἀποβλέψας πρὸς τὴν θύραν , ἰδών τινας νεανίσκους εἰσιόντας καὶ λοιδορουμένους ἀλλήλοις καὶ ἄλλον ὄχλον ὄπισθεν ἑπόμενον , περὶ μὲν τῶν καλῶν , ἔφη , ὦ Σώκρατες , αὐτίκα μοι δοκεῖς εἴσεσθαι ·",δοκεῖς,εἴσεσθαι,μοι
815,Lysias (0540) - On the Murder of Eratosthenes (001),"καὶ ὡς *̔αρμόδιον μὲν καὶ τὸν δεῖνα ἦλθον οὐκ ἐπιδημοῦντας ̔ οὐ γὰρ ᾔδη ̓ ἑτέρους δὲ οὐκ ἔνδον ὄντας κατέλαβον , οὓς δʼ οἷός τε ἦ λαβὼν ἐβάδιζον . καίτοιγε εἰ προῄδη , οὐκ ἂν δοκῶ ὑμῖν καὶ θεράποντας παρασκευάσασθαι καὶ τοῖς φίλοις παραγγεῖλαι , ἵνʼ ὡς ἀσφαλέστατα μὲν αὐτὸς εἰσῄα ̔ τί γὰρ ᾔδη εἴ τι κἀκεῖνος εἶχε σιδήριον ̓ ;",δοκῶ;παραγγεῖλαι,παρασκευάσασθαι,ὑμῖν
816,Lysias (0540) - Defense in the Matter of the Olive Stump (007),"καὶ μὲν δή , ὦ βουλή , φανερὸν οἶμαι εἶναι πᾶσιν ὅτι , εἰ Νικομάχου ἐξαιτοῦντος τοὺς ἀνθρώπους μὴ παρεδίδουν , ἐδόκουν ἂν ἐμαυτῷ συνειδέναι ·",ἐδόκουν,συνειδέναι,ἐμαυτῷ
817,Plato (0059) - Apology (002),"εἰ οὖν ὑμῶν οἱ δοκοῦντες διαφέρειν εἴτε σοφίᾳ εἴτε ἀνδρείᾳ εἴτε ἄλλῃ ᾑτινιοῦν ἀρετῇ τοιοῦτοι ἔσονται , αἰσχρὸν ἂν εἴη ·",δοκοῦντες,διαφέρειν,σοφίᾳ
818,Thucydides (0003) - History (001),"ἡ γὰρ *̔ελλὰς πᾶσα τῇδε τῇ ὁρμῇ ἐπῆρται καὶ προσέχει τὴν γνώμην , εὔνοιαν ἔχουσα διὰ τὸ *̓αθηναίων ἔχθος πρᾶξαι ἡμᾶς ἃ ἐπινοοῦμεν . οὔκουν χρή , εἴ τῳ καὶ δοκοῦμεν πλήθει ἐπιέναι καὶ ἀσφάλεια πολλὴ εἶναι μὴ ἂν ἐλθεῖν τοὺς ἐναντίους ἡμῖν διὰ μάχης , τούτων ἕνεκα ἀμελέστερόν τι παρεσκευασμένους χωρεῖν , ἀλλὰ καὶ πόλεως ἑκάστης ἡγεμόνα καὶ στρατιώτην τὸ καθʼ αὑτὸν αἰεὶ προσδέχεσθαι ἐς κίνδυνόν τινα ἥξειν .",δοκοῦμεν,ἐπιέναι;ἐλθεῖν,πλήθει;ἡμῖν
819,Xenophon (0032) - Hellenica (001),παρὰ δὲ Μαντίνειαν ἐξ *̓ορχομενοῦ ὄρθρου ἀναστὰς ἔτι σκοταῖος παρῆλθεν . οὕτω χαλεπῶς ἂν ἐδόκουν οἱ στρατιῶται τοὺς Μαντινέας ἐφηδομένους τῷ δυστυχήματι θεάσασθαι . ἐκ τούτου δὲ μάλα καὶ τἆλλα ἐπετύγχανεν *̓ ιφικράτης .,ἐδόκουν,θεάσασθαι,δυστυχήματι
820,Xenophon (0032) - Memorabilia (002),"τῶν τε γὰρ μαινομένων τοὺς μὲν οὐδὲ τὰ δεινὰ δεδιέναι , τοὺς δὲ καὶ τὰ μὴ φοβερὰ φοβεῖσθαι , καὶ τοῖς μὲν οὐδʼ ἐν ὄχλῳ δοκεῖν αἰσχρὸν εἶναι λέγειν ἢ ποιεῖν ὁτιοῦν , τοῖς δὲ οὐδʼ ἐξιτητέον εἰς ἀνθρώπους εἶναι δοκεῖν , καὶ τοὺς μὲν οὔθʼ ἱερὸν οὔτε βωμὸν οὔτʼ ἄλλο τῶν θείων οὐδὲν τιμᾶν , τοὺς δὲ καὶ λίθους καὶ ξύλα τὰ τυχόντα καὶ θηρία σέβεσθαι ·",δεδιέναι;δοκεῖν;δοκεῖν,φοβεῖσθαι;δοκεῖν;λέγειν;τιμᾶν,ὄχλῳ
821,Plato (0059) - Alcibiades 2 (014),"οὐδὲ γὰρ ἂν εἰκὸς εἴη ἀντίψηφον ἐμὲ τῷ θεῷ γενέσθαι . οὐκοῦν μέμνησαι ἐν πολλῇ ἀπορίᾳ φάσκων εἶναι , ὅπως μὴ λάθῃς σεαυτὸν εὐχόμενος κακά , δοκῶν δὲ ἀγαθά ;",εἰκὸς;δοκῶν,γενέσθαι,θεῷ
822,Xenophon (0032) - Hellenica (001),"διὰ οὖν πάντα ταῦτα ἔδοξεν αὐτοῖς τοὺς νεκροὺς ὑποσπόνδους ἀναιρεῖσθαι . οἱ μέντοι Θηβαῖοι εἶπαν ὅτι οὐκ ἂν ὑποδοῖεν τοὺς νεκρούς , εἰ μὴ ἐφʼ ᾧτε ἀπιέναι ἐκ τῆς χώρας . οἱ δὲ ἄσμενοί τε ταῦτα ἤκουσαν καὶ ἀνελόμενοι τοὺς νεκροὺς ἀπῇσαν ἐκ τῆς Βοιωτίας .",ἔδοξεν;ἀπιέναι,ἀναιρεῖσθαι,αὐτοῖς
823,Demosthenes (0014) - Fourth Philippic (010),"καὶ γὰρ οὐ λόγων ἐνδείᾳ μοι δοκεῖ τὰ πράγματʼ οὔτε νῦν οὔτʼ ἄλλοτε πώποτε φαύλως ἔχειν , ἀλλʼ ὅταν πάντʼ ἀκούσαντες ὑμεῖς τὰ δέοντα , καὶ ὁμογνώμονες ὡς ὀρθῶς λέγεται γενόμενοι , τῶν λυμαίνεσθαι καὶ διαστρέφειν ταῦτα βουλομένων ἐξ ἴσου κάθησθʼ ἀκροώμενοι , οὐκ ἀγνοοῦντες αὐτούς ̔ ἴστε γὰρ εὐθὺς ἰδόντες ἀκριβῶς , τίς μισθοῦ λέγει καὶ ὑπὲρ Φιλίππου πολιτεύεται , καὶ τίς ὡς ἀληθῶς ὑπὲρ τῶν βελτίστων ̓ ἀλλʼ ἵνʼ αἰτιασάμενοι τούτους καὶ τὸ πρᾶγμʼ εἰς γέλωτα καὶ λοιδορίαν ἐμβαλόντες μηδὲν αὐτοὶ τῶν δεόντων ποιῆτε .",δοκεῖ,ἔχειν,μοι
824,Demosthenes (0014) - Against Timocrates (024),"ἀλλὰ καὶ διὰ ταῦτα δεδέσθαι αὐτῷ οὐχ ἧττον προσήκει ἢ διʼ ἅπερ ὑφείλετο . ἢ ὅτι εἰσῄει εἰς τὴν ἀγορὰν οὐκ ἐξὸν αὐτῷ , καὶ ἐκ ταύτης τοὺς σωφρόνως βεβιωκότας αὐτὸς ἦγεν εἰς τὸ δεσμωτήριον ;",προσήκει;ἐξὸν,δεδέσθαι,αὐτῷ
825,Isocrates (0010) - On the Peace (017),"τὸν δὲ εὑρήσετε τὸν πολιτευόμενον οὐκ ἀργίας οὐδʼ ἀπορίας οὐδʼ ἐλπίδων κενῶν ὄντα μεστόν , ἀλλὰ νικᾶν μὲν δυνάμενον ἐν ταῖς μάχαις ἅπαντας τοὺς εἰς τὴν χώραν εἰσβάλλοντας , ἀριστείων δʼ ἀξιούμενον ἐν τοῖς ὑπὲρ τῆς *̔ελλάδος κινδύνοις , οὕτω δὲ πιστευόμενον ὥστε τὰς πλείστας αὐτῷ τῶν πόλεων ἑκούσας ἐγχειρίσαι σφᾶς αὐτάς . τούτων δʼ ὑπαρχόντων , ἀντὶ μὲν τῆς πολιτείας τῆς παρὰ πᾶσιν εὐδοκιμούσης ἐπὶ τοιαύτην ἀκολασίαν ἡ δύναμις ἡμᾶς αὕτη προήγαγεν , ἣν οὐδεὶς ἂν ἀνθρώπων ἐπαινέσειεν ·",πιστευόμενον;ὑπαρχόντων;ἐπαινέσειεν,ἐγχειρίσαι,αὐτῷ
826,Aristophanes (0019) - Thesmophoriazusae (008),"ἃ δʼ ἦν ἡμῖν πρὸ τοῦ αὐταῖς ταμιεῦσαι καὶ προαιρούσαις λαθεῖν ἄλφιτον ἔλαιον οἶνον , οὐδὲ ταῦτʼ ἔτι ἔξεστιν .",ἔξεστιν,ταμιεῦσαι,ἡμῖν;αὐταῖς
827,Plato (0059) - Cratylus (005),"τὸ γὰρ πρὸ πάντων θεῶν τῇ *̔εστίᾳ πρώτῃ προθύειν εἰκὸς ἐκείνους οἵτινες τὴν πάντων οὐσίαν ἐσσίαν ἐπωνόμασαν . ὅσοι δʼ αὖ ὠσίαν , σχεδόν τι αὖ οὗτοι καθʼ *̔ηράκλειτον ἂν ἡγοῖντο τὰ ὄντα ἰέναι τε πάντα καὶ μένειν οὐδέν ·",εἰκὸς,προθύειν,*̔εστίᾳ
828,Plato (0059) - Menexenus (028),"ταῦτα οὖν , ὦ παῖδες καὶ γονῆς τῶν τελευτησάντων , ἐκεῖνοί τε ἐπέσκηπτον ἡμῖν ἀπαγγέλλειν , καὶ ἐγὼ ὡς δύναμαι προθυμότατα ἀπαγγέλλω ·",ἐπέσκηπτον,ἀπαγγέλλειν,ἡμῖν
829,Plato (0059) - Apology (002),"ἔστι γὰρ οὐκ ἀηδές . ἐμοὶ δὲ τοῦτο , ὡς ἐγώ φημι , προστέτακται ὑπὸ τοῦ θεοῦ πράττειν καὶ ἐκ μαντείων καὶ ἐξ ἐνυπνίων καὶ παντὶ τρόπῳ ᾧπέρ τίς ποτε καὶ ἄλλη θεία μοῖρα ἀνθρώπῳ καὶ ὁτιοῦν προσέταξε πράττειν . ταῦτα , ὦ ἄνδρες *̓αθηναῖοι , καὶ ἀληθῆ ἐστιν καὶ εὐέλεγκτα .",προστέτακται;προσέταξε,πράττειν;πράττειν,τρόπῳ
830,Demosthenes (0014) - Against Androtion (022),"εἰ δʼ οὐκ ἔξεστι , τί μᾶλλον , ἂν διὰ τὸν δεῖν ʼ ἢ τὸν δεῖν ʼ ἐπιδείξῃ μὴ πεποιημένας , ἐκείνῃ προσῆκε λαβεῖν ; χωρὶς δὲ τούτων ἔμοιγε δοκοῦσιν αἵρεσιν ὑμῖν οἱ τοιοῦτοι λόγοι διδόναι , πότερʼ οἴεσθε δεῖν προφάσεις καὶ λόγους ἀκούειν τῶν ἀδικούντων ὑμᾶς ἢ ναῦς κεκτῆσθαι .",ἔξεστι;δοκοῦσιν;διδόναι,διδόναι,ὑμῖν
